"prediction","model_vars_all_years","null_model_all_years","model_vars_sep_years","null_model_sep_years","response_predict","response_sign","dAIC_all_years","response_obs_all","coef_all_years","dAIC_1964.1966","response_obs_1964.1966","coef_1964.1966","dAIC_1977","response_obs_1977","coef_1977","dAIC_1999","response_obs_1999","coef_1999","notes","coef_all_big","coef_1966_big","coef_1977_big","coef_1999_big"
"1.0","resist.value ~ dbh_ln+year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)","resist.value ~ dbh_ln+(1|sp)","resist.value ~ (1|sp)",-1,"-",2.98,-1,-0.0246579443893973,17.5,-1,-0.0801422672191901,-1.78,-1,-0.00973792737623155,-1.76,1,0.00871375041017995,"",NA,NA,NA,NA
"1.1","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)","resist.value ~ height_ln+(1|sp)","resist.value ~ (1|sp)",-1,"-",2.84,-1,-0.0389821288052648,17.21,-1,-0.127215302058516,-1.77,-1,-0.0159165238277254,-1.75,1,0.0143406518410919,"",NA,NA,NA,NA
"1.2a","resist.value ~ position_all+year+(1|sp/tree)","resist.value ~ year+(1|sp/tree)","resist.value ~ position_all+(1|sp)","resist.value ~ (1|sp)",-1,"canopy<subcanopy",-3.39,-1,-0.0389821288052648,2.61,-1,-0.127215302058516,-1.84,-1,-0.0159165238277254,-1.81,1,0.0143406518410919,"",NA,NA,NA,NA
"1.2b","resist.value ~ position_all+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ position_all+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"canopy<subcanopy",-2.8,-1,-0.0389821288052648,-4.89,-1,-0.127215302058516,-2.12,-1,-0.0159165238277254,-0.89,1,0.0143406518410919,"",NA,NA,NA,NA
"1.2c1, 1.3a1","resist.value ~ elev_m+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ elev_m+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"+",-0.32,1,0.000605897047094988,3.22,-1,-0.00176831623830249,4.13,1,0.00202086167732566,0.84,1,0.00118624636686887,"",NA,NA,NA,NA
"1.2c2","resist.value ~ elev_m*height_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ elev_m*height_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"+",0.5,1,0.0084340481352565,2.5,1,0.00753921381032646,2.77,1,0.00875714715755353,-0.61,1,0.006367861559829,"",NA,NA,NA,NA
"1.3b1","resist.value ~ elev_m*height_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ elev_m*height_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"-",0.5,1,0.0084340481352565,2.5,1,0.00753921381032646,2.77,1,0.00875714715755353,-0.61,1,0.006367861559829,"",NA,NA,NA,NA
"1.3a2","resist.value ~ distance_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ distance_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"+",-0.72,1,0.00809609029398777,5.27,-1,-0.0321384593917213,1.99,1,0.0247540246895045,2.69,1,0.0231538004994763,"",NA,NA,NA,NA
"1.3b2","resist.value ~ distance_ln*height_ln+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ distance_ln*height_ln+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"-",-1.31,1,0.0929377792273148,3.54,1,0.0394862886632784,1.78,1,0.188396777155124,0.86,-1,-0.0240322806597202,"",NA,NA,NA,NA
"2.1","resist.value ~ tlp+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ tlp+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",-1,"-",4.01,-1,-0.208969661890051,1.64,-1,-0.242744204767412,1.34,-1,-0.248137342954657,-0.56,-1,-0.149136537427587,"",NA,NA,NA,NA
"2.2","resist.value ~ rp+height_ln+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ rp+height_ln+(1|sp)","resist.value ~ height_ln+(1|sp)",1,"ring>diffuse",-3.49,1,0.0450658247905999,-1.69,1,0.128403368755373,0.9,-1,-0.191868331103802,3.46,1,0.197253275192255,"",NA,NA,NA,NA
"4","resist.value ~ dbh_ln+height_ln+position_all+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)","resist.value ~ height_ln+year+(1|sp/tree)","resist.value ~ dbh_ln+height_ln+position_all+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)","resist.value ~ height_ln+(1|sp)",NA,"+",0.79,-1,NA,0.2,1,NA,13.03,-1,NA,0.3,1,NA,"","ht_nat_log_ln","ht_nat_log_ln","ht_nat_log_ln","ht_nat_log_ln"
