"Modnames_all_years","dAIC_all_years","Modnames_1966","dAIC_1966","Modnames_1977","dAIC_1977","Modnames_1999","dAIC_1999"
"resist.value ~ position+height_ln*elev_m+tlp+rp+year+(1|sp/tree)",0,"resist.value ~ dbh_ln+distance_ln+tlp+rp+(1|sp)",0,"resist.value ~ height_ln+position+height_ln*elev_m+tlp+rp+(1|sp)",0,"resist.value ~ dbh_ln+height_ln+position+distance_ln+rp+(1|sp)",0
"resist.value ~ height_ln+position+height_ln*elev_m+tlp+rp+year+(1|sp/tree)",0,"resist.value ~ height_ln+distance_ln+tlp+rp+(1|sp)",0.275848530260902,"resist.value ~ position+height_ln*elev_m+tlp+rp+(1|sp)",5.11590769747272e-13,"resist.value ~ dbh_ln+position+height_ln*elev_m+rp+(1|sp)",0.10849304315666
"resist.value ~ dbh_ln+position+height_ln*elev_m+tlp+rp+year+(1|sp/tree)",1.02697582697317,"resist.value ~ height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",0.55796255345264,"resist.value ~ height_ln*elev_m+tlp+rp+(1|sp)",0.724749976922169,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+rp+(1|sp)",0.10849304315666
"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+tlp+rp+year+(1|sp/tree)",1.02697582697618,"resist.value ~ height_ln+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",0.55796255345264,"resist.value ~ height_ln+height_ln*elev_m+tlp+rp+(1|sp)",0.724749976922169,"resist.value ~ dbh_ln+position+height_ln*elev_m+tlp+rp+(1|sp)",0.194078595282402
"resist.value ~ position+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",1.98936055744051,"resist.value ~ height_ln*elev_m+tlp+rp+(1|sp)",1.49592370078754,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+tlp+rp+(1|sp)",1.64587070974602,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+tlp+rp+(1|sp)",0.194078595282402
"resist.value ~ height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",1.98936055744051,"resist.value ~ height_ln+height_ln*elev_m+tlp+rp+(1|sp)",1.49592370078754,"resist.value ~ dbh_ln+position+height_ln*elev_m+tlp+rp+(1|sp)",1.64587070974653,"resist.value ~ dbh_ln+height_ln+position+distance_ln+tlp+rp+(1|sp)",0.500683309204621
"resist.value ~ height_ln+position+tlp+rp+year+(1|sp/tree)",2.45378353035167,"resist.value ~ dbh_ln+height_ln+distance_ln+tlp+rp+(1|sp)",1.70109264900362,"resist.value ~ height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",2.06486966637752,"resist.value ~ dbh_ln+position+height_ln*elev_m+distance_ln+rp+(1|sp)",1.29256220346231
"resist.value ~ height_ln+position+distance_ln+tlp+rp+year+(1|sp/tree)",2.85537449487103,"resist.value ~ dbh_ln+position+distance_ln+tlp+rp+(1|sp)",1.71368651414662,"resist.value ~ position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",2.06486966637854,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+rp+(1|sp)",1.29256220346285
"resist.value ~ dbh_ln+position+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",3.03076356039622,"resist.value ~ height_ln+position+distance_ln+tlp+rp+(1|sp)",2.23263709430146,"resist.value ~ dbh_ln+position+distance_ln+tlp+rp+(1|sp)",2.37235741660638,"resist.value ~ dbh_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",1.38709596760085
"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",3.03076356039622,"resist.value ~ dbh_ln+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",2.29553352727962,"resist.value ~ height_ln+position+distance_ln+tlp+rp+(1|sp)",2.51198821087613,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",1.38709596760085
"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+year+(1|sp/tree)",3.03076356039622,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",4.00726548364132,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",3.68424157942104,"resist.value ~ dbh_ln+height_ln+position+height_ln*elev_m+distance_ln+tlp+rp+(1|sp)",1.38709596760085
