drought,$\Delta$AICc,$Marginal R^2$,$Conditional R^2$,Intercept,$ln[H]$,$ln[TWI]$,$ln[H]*ln[TWI]$,$PLA$,$\pi_{tlp}$
all,0,0.1,0.17,-0.265,0.348,0.864,-0.291,-0.012,-0.287
,0.176,0.08,0.16,-0.572,0.347,0.859,-0.291,-,-0.347
,1.518,0.07,0.16,0.458,0.354,0.866,-0.292,-0.016,-
,1.552,0.09,0.17,1.253,-0.166,-,-,-0.011,-0.288
,1.698,0.08,0.16,0.94,-0.166,-,-,-,-0.348
1966,0,0.04,0.15,1.834,-0.085,-,-,-0.02,-
,0.402,0.03,0.16,1.589,-,-,-,-0.02,-
,1.189,0,0.14,1.534,-0.082,-,-,-,-
,1.313,0,0.15,1.293,-,-,-,-,-
,1.692,0.04,0.16,1.534,-0.085,-,-,-0.018,-0.116
1977,0,0.14,0.28,-0.932,0.294,1.207,-0.384,-,-0.467
,0.497,0.13,0.28,1.194,-0.383,-,-,-,-0.469
,1.304,0.15,0.3,-0.648,0.294,1.208,-0.383,-0.011,-0.411
,1.542,0.13,0.28,1.026,-0.387,0.095,-,-,-0.472
,1.555,0.09,0.28,0.138,0.304,1.211,-0.385,-,-
,1.852,0.14,0.29,1.467,-0.381,-,-,-0.01,-0.416
1999,0,0.07,0.13,0.237,-,-,-,-,-0.366
,0.313,0.08,0.14,0.472,-,-,-,-0.008,-0.317
,0.503,0.07,0.13,0.358,-0.048,-,-,-,-0.376
,0.532,0.07,0.13,0.394,-,-0.086,-,-,-0.364
,0.726,0.09,0.14,0.588,-0.047,-,-,-0.008,-0.328
,1.079,0.09,0.15,0.602,-,-0.081,-,-0.008,-0.319
,1.249,0.07,0.13,0.495,-0.044,-0.08,-,-,-0.374
,1.706,0.09,0.14,0.699,-0.044,-0.075,-,-0.007,-0.329
