drought,dAICc,R2,Intercept,ln[H],D,C,I,S,ln[TWI],D/SR,R,PLA,TLP
all,0,0.12,1.077,-0.057,-,-,-,-,-0.086,-,-,-0.012,-0.113
,0.586,0.11,1.365,-0.055,-,-,-,-,-0.086,-,-,-0.013,-
,0.726,0.12,1.22,-0.089,-0.034,0,-0.037,-0.051,-0.079,-,-,-0.012,-0.101
,0.813,0.11,1.481,-0.089,-0.034,0,-0.039,-0.054,-0.079,-,-,-0.014,-
1966,0,0.25,1.503,-0.141,-,-,-,-,-,0,0.11,-0.021,-
1977,0,0.21,1.136,-,-,-,-,-,-0.145,0,-0.205,-0.015,-0.13
,0.04,0.21,1.49,-,-,-,-,-,-0.145,0,-0.22,-0.017,-
,0.505,0.22,1.089,-,-0.069,0,-0.025,0.043,-0.137,0,-0.199,-0.014,-0.143
,0.818,0.22,1.481,-,-0.07,0,-0.027,0.038,-0.136,0,-0.216,-0.017,-
1999,0,0.23,0.464,-,-,-,-,-,-0.095,0,0.16,-,-0.197
,0.019,0.24,0.725,-0.068,0,0,-0.077,-0.09,-0.084,0,0.167,-,-0.183
