"Modnames","Delta_AICc","scenario","coef"
"resist.value ~ height.ln.m*TWI.ln+PLA_dry_percent+year+(1|sp/tree)",0,"trees_all_sub",NA
"resist.value ~ height.ln.m*TWI.ln+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)",0.43,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+year+(1|sp/tree)",1.21,"trees_all_sub",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+mean_TLP_Mpa+year+(1|sp/tree)",1.7,"trees_all_sub",NA
"resist.value ~ height.ln.m+PLA_dry_percent+(1|sp)",0,"x1966",NA
"resist.value ~ height.ln.m+TWI.ln+PLA_dry_percent+(1|sp)",1.39,"x1966",NA
"resist.value ~ height.ln.m+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.46,"x1966",NA
"resist.value ~ TWI.ln+(1|sp)",0,"x1977",NA
"resist.value ~ height.ln.m*TWI.ln+(1|sp)",0.42,"x1977",NA
"resist.value ~ TWI.ln+mean_TLP_Mpa+(1|sp)",0.69,"x1977",NA
"resist.value ~ height.ln.m*TWI.ln+mean_TLP_Mpa+(1|sp)",0.92,"x1977",NA
"resist.value ~ TWI.ln+PLA_dry_percent+(1|sp)",0.93,"x1977",NA
"resist.value ~ TWI.ln+position_all+(1|sp)",1.08,"x1977",NA
"resist.value ~ TWI.ln+position_all+mean_TLP_Mpa+(1|sp)",1.27,"x1977",NA
"resist.value ~ height.ln.m*TWI.ln+PLA_dry_percent+(1|sp)",1.32,"x1977",NA
"resist.value ~ height.ln.m*TWI.ln+position_all+(1|sp)",1.47,"x1977",NA
"resist.value ~ height.ln.m+TWI.ln+(1|sp)",1.71,"x1977",NA
"resist.value ~ height.ln.m*TWI.ln+position_all+mean_TLP_Mpa+(1|sp)",1.75,"x1977",NA
"resist.value ~ TWI.ln+position_all+PLA_dry_percent+(1|sp)",1.93,"x1977",NA
"resist.value ~ TWI.ln+mean_TLP_Mpa+(1|sp)",0,"x1999",NA
"resist.value ~ mean_TLP_Mpa+(1|sp)",0.06,"x1999",NA
"resist.value ~ TWI.ln+(1|sp)",0.13,"x1999",NA
"resist.value ~ (1|sp)",0.26,"x1999",NA
"resist.value ~ height.ln.m+TWI.ln+mean_TLP_Mpa+(1|sp)",1.78,"x1999",NA
"resist.value ~ TWI.ln+PLA_dry_percent+(1|sp)",1.8,"x1999",NA
"resist.value ~ height.ln.m+TWI.ln+(1|sp)",1.81,"x1999",NA
"resist.value ~ PLA_dry_percent+(1|sp)",1.84,"x1999",NA
"resist.value ~ height.ln.m+mean_TLP_Mpa+(1|sp)",1.93,"x1999",NA
"resist.value ~ TWI.ln+PLA_dry_percent+mean_TLP_Mpa+(1|sp)",1.98,"x1999",NA
"resist.value ~ PLA_dry_percent+mean_TLP_Mpa+(1|sp)",2,"x1999",NA
