"year","nb.series","perc.neg","nature","resist_mean","resist_sd","recov_mean","recov_sd","resil_mean","resil_sd","rel.resil_mean","rel.resil_sd","sp","position"
1947,8,50,-1,-38.67,23.53,59.47,46.05,-10.95,19.14,0.28,0.15,"cagl","canopy"
1966,22,68.18,-1,-47.46,21.27,202.89,281.46,29.67,61.51,0.77,0.58,"juni","canopy"
1966,36,69.44,-1,-46.26,21.47,127.27,90.81,20.03,62.96,0.66,0.52,"litu","canopy"
1999,37,54.05,-1,-37.34,23.76,71.78,71.97,-4.11,25.81,0.33,0.25,"litu","canopy"
1966,12,66.67,-1,-54.17,51.4,1239.01,1322.35,61.25,51.46,1.15,0.47,"pist","canopy"
1999,14,64.29,-1,-47.15,17.92,135.43,99.88,15.84,45.02,0.63,0.46,"pist","canopy"
1911,32,59.38,-1,-39.29,21.68,172.17,140.02,61.12,94.17,1,0.86,"qual","canopy"
1947,18,50,-1,-42.55,36.34,Inf,NA,4.13,40.56,0.47,0.26,"cagl","subcanopy"
1912,5,80,-1,-46.12,27.47,657.97,1031.7,271.33,478.73,3.17,4.81,"caovl","subcanopy"
1958,5,60,-1,-42.68,31.39,117.95,307.26,-47.92,30.97,-0.05,0.26,"juni","subcanopy"
1991,9,66.67,-1,-45.87,28.52,97.7,140.14,-13.97,23.86,0.32,0.28,"juni","subcanopy"
1997,9,55.56,-1,-32.43,31.58,84.94,119.54,17.48,91.51,0.5,0.81,"juni","subcanopy"
1999,9,55.56,-1,-14.71,70.42,78.54,68.9,41.99,78.72,0.5,0.32,"juni","subcanopy"
1966,52,53.85,-1,-34.91,32.62,108.42,124.4,20.49,81.25,0.55,0.59,"litu","subcanopy"
1999,59,62.71,-1,-44.31,18.89,64.55,78.58,-13.43,41.35,0.31,0.38,"litu","subcanopy"
1994,21,52.38,-1,-30.07,37.51,48.73,53.52,-4.17,40.1,0.26,0.32,"pist","subcanopy"
1999,21,57.14,-1,-38.93,19.59,50.34,33.09,-12.85,27.82,0.3,0.2,"pist","subcanopy"
